path	classification	role	active_on_market
src/webui/market_surface.py	PRESENTER	CANONICAL_MARKET_ROUTE_OWNER + page context orchestration	yes
src/webui/app.py	ROUTE	include_router(create_market_router); legacy /market/* redirects	yes
templates/peak_trade_dashboard/market_v0.html	TEMPLATE	Active GET /market SSR template	yes
templates/peak_trade_dashboard/base.html	TEMPLATE	Layout base for market_v0	yes
templates/peak_trade_dashboard/partials/market_visual_operator_header_v1.html	TEMPLATE	GLOBAL_HEADER landmark	yes
templates/peak_trade_dashboard/partials/market_primary_operator_hero_v1.html	TEMPLATE	PRIMARY_MARKET_SURFACE	yes
templates/peak_trade_dashboard/partials/market_primary_close_chart_v1.html	TEMPLATE	SSR OHLCV chart	yes
templates/peak_trade_dashboard/partials/market_governed_top20_primary_v1.html	TEMPLATE	DECISION_SURFACE Top20	yes
templates/peak_trade_dashboard/partials/market_decision_funnel_visual_v1.html	TEMPLATE	Decision funnel	yes
templates/peak_trade_dashboard/partials/futures_market_compact_v1.html	TEMPLATE	F5 compact	yes
templates/peak_trade_dashboard/partials/double_play_market_compact_v1.html	TEMPLATE	DP compact	yes
templates/peak_trade_dashboard/partials/market_safety_compact_v1.html	TEMPLATE	Safety compact	yes
templates/peak_trade_dashboard/partials/market_watchlist_compact_v1.html	TEMPLATE	Watchlist	yes
templates/peak_trade_dashboard/partials/market_economic_observability_visual_v1.html	TEMPLATE	Economic observability	yes
templates/peak_trade_dashboard/partials/market_ai_linear_diagnostics_visual_v1.html	TEMPLATE	AI diagnostics	yes
templates/peak_trade_dashboard/partials/double_play_market_panel_v0.html	LEGACY_FALLBACK	Engineering drawer DP panel	yes
templates/peak_trade_dashboard/partials/futures_read_only_market_panel_v0.html	LEGACY_FALLBACK	Engineering drawer F5 panel	yes
templates/peak_trade_dashboard/partials/market_current_state_compact_v1.html	TEMPLATE	Hardcoded current-state panel	yes
templates/peak_trade_dashboard/partials/market_diagnostics_drawer_v1.html	TEMPLATE	Engineering drawer	yes
templates/peak_trade_dashboard/partials/market_legacy_operator_panels_v0.html	LEGACY_FALLBACK	Collapsed legacy panels + Chart.js	yes
src/webui/double_play_dashboard_display_json_route_v0.py	LEGACY_FALLBACK	build_static_dashboard_display_dict (GAP-01)	yes_via_context
src/webui/market_dashboard_current_state_snapshot_v0.py	LEGACY_FALLBACK	Hardcoded snapshot (GAP-02)	yes_via_context
src/webui/market_dashboard_current_state_runtime_v0.py	PRESENTER	Snapshot -> display context	yes_via_context
src/webui/market_ranking_funnel_runtime_v0.py	PRESENTER	Ranking funnel display	yes_env_gated
src/webui/market_ranking_funnel_readmodel_v0/	CANONICAL_READMODEL	market_ranking_funnel_readmodel.v0	preserve
src/webui/market_futures_ohlcv_runtime_v0.py	PRESENTER	Futures OHLCV display	yes_env_gated
src/webui/market_futures_ohlcv_readmodel_v0/	CANONICAL_READMODEL	market_futures_ohlcv_readmodel.v0	preserve
src/webui/market_depth_runtime_v0.py	PRESENTER	Depth display	yes_env_gated
src/webui/market_depth_readmodel_v0/	CANONICAL_READMODEL	market_depth_readmodel.v0	preserve
src/webui/futures_read_only_market_dashboard_runtime_v0.py	PRESENTER	F5 display	yes_env_gated
src/webui/market_visual_operator_surface_v1/	PRESENTER	Offline evidence formatters	yes
src/webui/workflow_dashboard_runtime_v1.py	PRESENTER	Workflow panels	yes_conditional
src/webui/last_paper_run_panel_runtime_v0.py	PRESENTER	Last paper run panel	yes_conditional
scripts/_shared_ohlcv_loader.py	SCRIPT	Dummy OHLCV loader	legacy_query_only
scripts/webui/review_server.sh	SCRIPT	Read-only review server harness	n/a
static/css/peak_trade_dashboard_design_tokens_v1.css	ASSET	Design tokens	yes
static/css/peak_trade_dashboard_layout_v1.css	ASSET	Layout	yes
static/css/peak_trade_dashboard_utilities_v1.css	ASSET	Utilities	yes
static/vendor/chartjs/4.4.1/chart.umd.min.js	ASSET	Chart.js vendor	yes_legacy_drawer
src/trading/master_v2/double_play_composition_matrix_v1.py	DOMAIN_OWNER	Canonical DP authority	indirect_via_static_fixture
src/trading/master_v2/integrated_offline_trading_logic_replay_v1.py	DOMAIN_OWNER	Offline orchestrator	no
src/trading/master_v2/canonical_market_context_v1.py	DOMAIN_OWNER	Canonical market context	no
src/governance/capital_risk_sizing_v1.py	DOMAIN_OWNER	Risk sizing	no
src/governance/canonical_order_intent_v1.py	DOMAIN_OWNER	Order intent	no
src/execution/pipeline.py	DOMAIN_OWNER	Execution pipeline	no
src/backtest/engine.py	DOMAIN_OWNER	Backtest engine	no
tests/webui/test_market_dashboard_readonly_structure_contract_v0.py	TEST	Primary composition HTTP contracts	yes
tests/test_market_surface_api.py	TEST	Market surface API + HTML	yes
tests/fixtures/market_ranking_funnel_readmodel_v0/	FIXTURE	Ranking offline fixture	opt_in
tests/fixtures/market_futures_ohlcv_readmodel_v0/	FIXTURE	OHLCV offline fixture	opt_in
