path	symbol	class	reachable	input	output	mutated_fields	authority_status	ordering	value_loss	long_short_asymmetry	exit_effect	downscope_effect	evidence
src/trading/master_v2/deterministic_scope_event_generator_v1.py	_select_directional_kind	A	yes	matched=(DOWNSCOPE,ADVERSE_EXIT) when adverse_distance < up_distance and price <= downscope	selected=ADVERSE_EXIT	none (pure select)	canonical_scope_event_owner	before_transition_state	yes_downscope_suppressed_when_adverse_also_matches	symmetric_geometry_but_ratio_asymmetric_under_research_bps	none_direct_sm;_feeds_event_type	downscope_never_selected_if_adverse_nested_inside	proof: matched=['downscope','adverse_exit'] selected=adverse_exit with mark-relative 100bps/50bps
src/trading/master_v2/integrated_offline_trading_logic_replay_v1.py	_canonical_scope_event_to_scope_event	F	yes	CanonicalScopeEventType.ADVERSE_EXIT_CANDIDATE	ScopeEvent.SCOPE_UNKNOWN	mapped_event only	consumer_mapper_not_second_authority	after_generator_before_transition_state	yes_adverse_sm_event_lost;_downscope_never_recovered	maps_only_up/down/chop/noop;_adverse_unmapped	sm_sees_SCOPE_UNKNOWN_not_exit_event	blocks_downscope_sm_path_when_adverse_won_selection	code:651-662; proof map_to_sm=scope_unknown
src/trading/master_v2/double_play_state.py	transition_state	A	yes	event=SCOPE_UNKNOWN	TransitionDecision(False,SCOPE_UNKNOWN_FAIL_CLOSED); SideState unchanged	none	canonical_direction_switch_owner	after_mapped_event	yes_no_SHORT_arm_from_adverse_path	LONG_ACTIVE+SCOPE_UNKNOWN stays LONG_ACTIVE	no_sm_exit_transition_from_adverse_mapped_unknown	DOWNSCOPE_CONFIRMED still arms SHORT from NEUTRAL	proof: LONG_ACTIVE+SCOPE_UNKNOWN -> long_active False; NEUTRAL+DOWNSCOPE_CONFIRMED -> short_armed
src/trading/master_v2/scope_event_generator_scenario_binding_adapter_v0.py	derive_scope_adverse_exit_signal_v0	B	yes	ScopeEventEvidence ADVERSE_EXIT_CANDIDATE	PolicySignalV0(triggered=True)	none	projection_to_entry_exit_policy	parallel_to_sm_mapping	partial_mitigation_exit_signal_preserved	none	feeds_ExitClass.ADVERSE_SCOPE_EXIT	does_not_restore_downscope_sm_event	adapter:234-244; used by resolve_integrated_scope_adverse_exit_signal_v0
src/trading/master_v2/integrated_offline_trading_logic_replay_v1.py	resolve_integrated_scope_adverse_exit_signal_v0	B	yes	scope_event evidence + passthrough	PolicySignal triggered if adverse	none	consumer	after_transition_state_call_before_entry_exit	no_sm_mutation;_exit_policy_input_only	none	entry_exit_can_see_adverse	no_downscope_restore	replay:999-1007,1275-1306
src/trading/master_v2/double_play_entry_exit_policy_v0.py	evaluate_double_play_entry_exit_policy_v0	A	yes	scope_adverse_exit_signal	exit outcomes via ExitClass.ADVERSE_SCOPE_EXIT	decision evidence only	entry_exit_policy_owner_not_direction	after_transition_state	exit_path_available_without_side_switch	policy_uses_direction_state_from_side_state	can_force_exit_intents	cannot_create_SHORT_ARMED	entry_exit_policy_v0 ExitClass map
src/trading/master_v2/integrated_offline_trading_logic_replay_v1.py	run_integrated_offline_bar_cycle ordering	A	yes	DynamicScopeUpdate then ScopeEvent then composition then transition_state	ordering preserved	runtime_scope via update_dynamic_boundaries	canonical_pipeline	DynamicScopeUpdate->ScopeEvent->composition->transition_state->entry_exit	no_overwrite_of_next_side_by_later_adapter_found	scope_direction_from_side_state uses side_state	adverse_signal_after_sm	downscope_depends_on_mapped_event	replay:1133-1242
src/backtest/mv2_research_wiring_v1.py	compute_mv2_research_scope_distances_absolute_from_mark_v1	B	yes	mark>0	absolute up/adverse/reversal with adverse=0.5*up	none	research_input_binding_only	before_generator	enables_nested_adverse_inside_downscope_band	symmetric_ratios	none	makes_adverse_priority_shadow_operational_on_research	post_PR5338 BPS 100/50/75-implied; not absolute 120/60/90
src/backtest/mv2_research_wiring_v1.py	build_initial_mv2_integrated_replay_bar_sequence_state_v1	C	yes	trading_epoch	side_state=LONG_ARMED seed	initial sequence state	research_seed_not_direction_authority	before_first_bar	LONG_start_without_upscope	LONG_bias_seed	none	SHORT_requires_downscope_pipeline_or_NEUTRAL	wiring:1187-1188; pre-existing
src/trading/master_v2/integrated_offline_trading_logic_replay_v1.py	scope_direction_from_side_state_v1	B	yes	SideState + fallback	ScopeDirectionState LONG/SHORT	none	projection	before_generator	fallback_default_LONG_only_if_neutralish	fallback=LONG parameter default	none	orients_thresholds	replay:665-685; fallback from inp.scope_direction_state usually
