PATH	SYMBOL	CLASSIFICATION	EXECUTION_SURFACE	PRODUCTIVE_REACHABLE	STATE_READ	STATE_WRITE	DIRECTION_WRITE	SIDE_WRITE	SWITCH_TRIGGER	TRANSITION_STATE_CALLED	TRANSITION_RESULT_OVERRIDDEN	CONFIG_OVERRIDE	EVIDENCE	RISK	RECOMMENDED_ACTION
src/trading/master_v2/double_play_state.py	RuntimeScopeState	CANONICAL_AUTHORITY	offline/backtest integrated chain	yes	yes	yes (scope SSOT via update_dynamic_boundaries / transition_state policy)	no	no	no	n/a (owner)	no	no	Sole Scope-State SSOT; chop_latched is scope policy latch	LOW	KEEP
src/trading/master_v2/double_play_state.py	transition_state	CANONICAL_AUTHORITY	offline/backtest integrated chain	yes	yes	yes (SideState + RuntimeScopeState)	no (SideState only)	yes	yes	yes	no	no	Sole Bull/Bear + Switch authority; CHOP no longer writes SideState.CHOP_GUARD_BLOCK	LOW	KEEP
src/trading/master_v2/chop_scope_event_policy_binding_v1.py	apply_chop_scope_event_policy_v1	CANONICAL_AUTHORITY	scope-policy owner called from transition_state	yes	yes	yes (chop_latched only)	no	no	no	indirect via transition_state	no	no	CHOP_BINDING_STATUS=BOUND_AS_SCOPE_POLICY; no Direction/Switch	LOW	KEEP
src/trading/master_v2/integrated_offline_trading_logic_replay_v1.py	run_integrated_offline_trading_logic_replay_v1	CANONICAL_AUTHORITY	productive offline orchestrator	yes	yes	via transition_state + trailing RuntimeScopeState	consumer maps Side→Direction	via transition_state	via transition_state	yes	no	no	Ordering: update_dynamic_boundaries → generate_deterministic_scope_event → transition_state; projects scope_chop_policy_active	LOW	KEEP
src/trading/master_v2/deterministic_scope_event_generator_v1.py	generate_deterministic_scope_event	CANONICAL_AUTHORITY	scope-event producer (no CHOP emission heuristic)	yes	yes	no SideState	no	no	no	no	no	no	Produces ScopeEvent input; CHOP not market-emitted	LOW	KEEP
src/trading/master_v2/double_play_composition_matrix_v1.py	evaluate_double_play_composition_matrix_v1	CONSUMER_PROJECTION_ONLY	integrated + scenario adapters	yes	yes (scope_chop_policy_active)	CompositionResult only	projection only	no	no	no	no	no	COMPOSITION_CHOP_STATUS=CONSUMER_PROJECTION_ONLY; both_sides conflict ≠ Scope-CHOP SSOT	LOW	KEEP / optional label rename
src/trading/master_v2/double_play_composition.py	compose_double_play_decision	LEGACY_PRODUCTIVE	pure composition / residual SideState.CHOP_GUARD_BLOCK consumer	yes (if residual SideState input)	yes	CompositionStatus only	no	no	no	no	no	no	No new CHOP_GUARD_BLOCK writers from transition_state; residual hold/clear only	LOW	CONSUMER_ONLY until fixture cleanup
src/ops/double_play/specialists.py	evaluate_double_play	CONSUMER_PROJECTION_ONLY	live_gates annotation / ops diagnostic	yes (annotation)	frozen switch_gate dict	no SideState	no	no	no	no	no	double_play_enabled observational	Never calls step_switch_gate; OPS_SWITCH_GATE_AUTHORITY_STATUS=FAIL_CLOSED_DISABLED	LOW	KEEP PROJECTION
src/ops/gates/switch_gate.py	step_switch_gate	LEGACY_UNREACHABLE	unit tests only (vs Double Play authority)	no (unwired from DP)	SwitchGateState	SwitchGateState (non-SideState)	no	no	local bull/bear labels only	no	no	no	Not imported by specialists.py after quarantine	LOW	KEEP quarantined; do not rewire
src/backtest/backtest_engine_position_feedback_adapter_v1.py	capture_backtest_engine_position_feedback_v1	CONSUMER_PROJECTION_ONLY	backtest bar loop	yes (observation)	position	neutral SideState placeholders only	no	no	no	no	no	no	BACKTEST_POSITION_FEEDBACK_ROLE=OBSERVATION_ONLY; NEUTRAL_OBSERVE carriers	LOW	KEEP
