path	area	kind	current_role_guess	operational_risk_if_changed	initial_bucket
.github/workflows/ci.yml	ci	workflow	Primary CI; PR Gate; tests; strategy-smoke	CRITICAL	KEEP_AS_IS
.github/workflows/required-checks-hygiene-gate.yml	ci	workflow	Required checks drift validation	HIGH	KEEP_AS_IS
.github/workflows/ci-workflow-dispatch-guard.yml	ci	workflow	Workflow dispatch inputs guard	HIGH	KEEP_AS_IS
.github/workflows/lint_gate.yml	ci	workflow	Lint Gate; Ruff check/format	HIGH	KEEP_AS_IS
.github/workflows/policy_critic_gate.yml	ci	workflow	Policy Critic Gate	HIGH	KEEP_AS_IS
.github/workflows/docs-token-policy-gate.yml	ci	workflow	Docs token policy validation	HIGH	KEEP_AS_IS
.github/workflows/docs_reference_targets_gate.yml	ci	workflow	Docs reference targets validation	HIGH	KEEP_AS_IS
.github/workflows/docs_diff_guard_policy_gate.yml	ci	workflow	Docs diff guard policy	HIGH	KEEP_AS_IS
.github/workflows/policy_tracked_reports_guard.yml	ci	workflow	Guard tracked files in reports	HIGH	KEEP_AS_IS
.github/workflows/merge-logs-sanity.yml	ci	workflow	Merge logs sanity check	MEDIUM	KEEP_AS_IS
.github/workflows/merge_log_hygiene.yml	ci	workflow	Merge log hygiene (informational)	LOW	KEEP_AS_IS
.github/workflows/deps_sync_guard.yml	ci	workflow	Deps sync (uv/requirements)	MEDIUM	KEEP_AS_IS
.github/workflows/guard-reports-ignored.yml	ci	workflow	Guard reports/.gitignore	MEDIUM	KEEP_AS_IS
.github/workflows/evidence_pack_gate.yml	ci	workflow	Evidence pack validation	MEDIUM	KEEP_AS_IS
.github/workflows/audit.yml	ci	workflow	Audit workflow	MEDIUM	KEEP_AS_IS
.github/workflows/test_health.yml	ci	workflow	Test health profile	MEDIUM	KEEP_AS_IS
.github/workflows/pru-required-checks-drift-detector.yml	ci	workflow	Required checks drift detector (scheduled)	MEDIUM	KEEP_AS_IS
.github/workflows/ci-scheduled-paper-and-export-smoke.yml	ci	workflow	Scheduled paper + export smoke	MEDIUM	KEEP_AS_IS
.github/workflows/ci-export-pack-download-verify.yml	ci	workflow	Export pack download/verify	MEDIUM	KEEP_AS_IS
.github/workflows/prj-scheduled-shadow-paper-features-smoke.yml	ci	workflow	Scheduled PR-J features smoke	MEDIUM	KEEP_AS_IS
.github/workflows/ci_pr_merge_state_signal.yml	ci	workflow	PR merge state signal	LOW	KEEP_AS_IS
.github/workflows/add-to-project.yml	ci	workflow	Add to project automation	LOW	KEEP_AS_IS
.github/workflows/cursor_auto_pr.yml	ci	workflow	Cursor auto PR	LOW	KEEP_AS_IS
.github/workflows/cursor_auto_automerge.yml	ci	workflow	Cursor auto automerge	LOW	KEEP_AS_IS
.github/workflows/typecheck-pyright.yml	ci	workflow	Pyright typecheck	MEDIUM	KEEP_AS_IS
.github/workflows/typecheck-mypy.yml	ci	workflow	Mypy typecheck	MEDIUM	KEEP_AS_IS
.github/workflows/offline_suites.yml	ci	workflow	Offline test suites	MEDIUM	KEEP_AS_IS
.github/workflows/weekly_core_audit.yml	ci	workflow	Weekly core audit	MEDIUM	KEEP_AS_IS
.github/workflows/full_audit_weekly.yml	ci	workflow	Full audit weekly	MEDIUM	KEEP_AS_IS
.github/workflows/ci-operator-verify-registry.yml	ci	workflow	Operator verify registry	MEDIUM	KEEP_AS_IS
.github/workflows/ci_recon_audit_gate_smoke.yml	ci	workflow	Recon audit gate smoke	MEDIUM	KEEP_AS_IS
.github/workflows/ops_doctor_pages.yml	ci	workflow	Ops doctor pages	LOW	KEEP_AS_IS
.github/workflows/ops_doctor_dashboard.yml	ci	workflow	Ops doctor dashboard	LOW	KEEP_AS_IS
.github/workflows/docs-integrity-snapshot.yml	ci	workflow	Docs integrity snapshot	LOW	KEEP_AS_IS
.github/workflows/docs_reference_targets_trend.yml	ci	workflow	Docs reference targets trend	LOW	KEEP_AS_IS
.github/workflows/docs-token-policy-gate.yml	ci	workflow	Docs token policy (duplicate ref)	HIGH	KEEP_AS_IS
config/ci/required_status_checks.json	ci	config	Required contexts; branch protection contract	CRITICAL	KEEP_AS_IS
scripts/ci/validate_required_checks_hygiene.py	ci	script	Required checks hygiene validator	HIGH	KEEP_AS_IS
scripts/ci/required_checks_drift_detector.py	ci	script	Legacy PR-U entry point (retired/unsupported; canonical is scripts/ops/reconcile_required_checks_branch_protection.py --check)	LOW	KEEP_AS_IS
scripts/ci/scheduled_guardrails.sh	ci	script	Scheduled workflow guardrails	MEDIUM	KEEP_AS_IS
scripts/ci/check_docs_diff_guard_section.py	ci	script	Docs diff guard section checker	MEDIUM	KEEP_AS_IS
scripts/ci/guard_no_tracked_reports.sh	ci	script	Guard no tracked reports	MEDIUM	KEEP_AS_IS
scripts/ops/validate_workflow_dispatch_guards.py	ci	script	Workflow dispatch guards validator	HIGH	KEEP_AS_IS
scripts/ops/check_required_ci_contexts_present.sh	ci	script	CI required contexts contract check	HIGH	KEEP_AS_IS
scripts/ops/verify_docs_reference_targets.sh	ci	script	Docs reference targets verifier	HIGH	KEEP_AS_IS
scripts/ops/docs_diff_guard.sh	ci	script	Docs diff guard	MEDIUM	KEEP_AS_IS
scripts/ops/check_merge_log_hygiene.py	ci	script	Merge log hygiene checker	MEDIUM	KEEP_AS_IS
scripts/ops/check_requirements_synced_with_uv.sh	ci	script	Deps sync checker	MEDIUM	KEEP_AS_IS
scripts/ops/create_required_checks_drift_guard_pr.sh	ci	script	Create drift guard PR	LOW	WORKFLOW_HYGIENE_CANDIDATE
