boundary	file	symbol	owner_or_consumer	active_bound	bull_bear_asymmetry	value_loss_risk	1inch_note
strategy_signal	src/strategies/bollinger.py	BollingerBandsStrategy.generate_signals	producer	active	mean_reversion_short_bias_typical	none_at_this_boundary_post_5337	signals_non_zero
research_wiring	src/backtest/mv2_research_wiring_v1.py	_build_replay_input / compute_mv2_research_scope_distances_absolute_from_mark_v1	owner_distances_consumer_cmc	active	scale_symmetric_bps	fixed_by_5338_mark_relative_bps	legacy_abs_seen=0
canonical_market_context	src/trading/master_v2/canonical_market_context_v1.py	bind_canonical_market_context_event	owner_cmc	bound	none	low	marks_valid=2893
DynamicScopeUpdate	src/trading/master_v2/double_play_state.py	update_dynamic_boundaries / RuntimeScopeState	owner_trailing	active	direction_oriented	low	trailing_active
ScopeEvent	src/trading/master_v2/deterministic_scope_event_generator_v1.py	generate_deterministic_scope_event / _select_directional_kind	owner_scope_event	active	post_5340_scope_before_exit	shadowing_fixed_by_5340	"{""adverse_exit_candidate"": 31, ""downscope_candidate"": 21, ""downscope_confirmed"": 2439, ""noop"": 118, ""upscope_candidate"": 7, ""upscope_confirmed"": 277}"
transition_state	src/trading/master_v2/double_play_state.py	transition_state	CANONICAL_DIRECTION_OWNER	active	event_gated	if_mapped_scope_unknown	"{""long_active"": 25, ""long_armed"": 2, ""long_blocked"": 4, ""short_active"": 2543, ""short_armed"": 277, ""switch_long_to_short_pending"": 42}"
composition_matrix	src/trading/master_v2/double_play_composition_matrix_v1.py	evaluate_double_play_composition_matrix_v1	CANONICAL_COMPOSITION_OWNER	active	selects_long_or_short	contractual_block_possible	"{""long"": 132, ""none"": 2624, ""short"": 137}"
policy_entry_exit_intent	src/trading/master_v2/double_play_entry_exit_policy_v0.py	evaluate_double_play_entry_exit_policy_v0	owner_entry_exit	active	requires_armed_matching_side	selected_opposite_when_side_mismatch	"{""blocked"": 13, ""enter_long"": 1, ""enter_short"": 8, ""hold"": 91, ""no_action"": 13, ""observe"": 275, ""reduce"": 2492}"
execution_simulation	src/backtest/mv2_research_wiring_v1.py	run_mv2_research_backtest_wiring_v1 / offline bar loop	consumer_offline_execution	active_offline	maps_enter_long_short	no_intent_no_trade	trades=1
trade_result_ledger	src/backtest/stats.py	compute_backtest_stats	consumer_stats	active	none	none	long=0 short=0
