SECTION	PRODUCER	EVIDENCE_PATH_OR_TYPE	LOADER	ADAPTER	ROUTE_BOUND	REVIEW_DATA_AVAILABLE	PROVENANCE_COMPLETE	FINAL_STATE
market_ohlcv	market_futures_ohlcv_readmodel.v0	tests/fixtures/market_futures_ohlcv_readmodel_v0/complete_minimal	source_loader._try_load_ohlcv_readmodel	adapt_market_instrument_snapshot_v1	true	true	true	BOUND
ranking_watchlist	market_ranking_funnel_readmodel.v0	tests/fixtures/market_ranking_funnel_readmodel_v0/complete_minimal	source_loader._try_load_ranking_readmodel	adapt_market_ranking_snapshot_v1	true	true	true	BOUND
canonical_decision	CanonicalTradingDecisionEvidenceV1-like JSON	tests/fixtures/market_dashboard_review_evidence_v1/complete_minimal/canonical_decision.json	source_loader._load_review_evidence_bundle	adapt_canonical_decision_summary_v1	true	true	true	BOUND
double_play	DoublePlayCompositionResultV1-like JSON	tests/fixtures/market_dashboard_review_evidence_v1/complete_minimal/double_play.json	source_loader._load_review_evidence_bundle	adapt_double_play_decision_snapshot_v1	true	true	true	BOUND
execution	EntryExitPolicyDecisionV0-like JSON	tests/fixtures/market_dashboard_review_evidence_v1/complete_minimal/execution.json	source_loader._load_review_evidence_bundle	adapt_execution_state_snapshot_v1	true	true	true	BOUND
economic	EconomicViabilityEvidenceV1-like JSON	tests/fixtures/market_dashboard_review_evidence_v1/complete_minimal/economic.json	source_loader._load_review_evidence_bundle	adapt_economic_summary_snapshot_v1	true	true	true	BOUND
diagnostics	offline_productive_linear_diagnostics_support_bundle.v0	tests/fixtures/market_dashboard_review_evidence_v1/complete_minimal/diagnostics.json	source_loader._load_review_evidence_bundle	adapt_diagnostics_summary_snapshot_v1	true	true	true	BOUND
safety_authority	consolidated producer (none in repo)	n/a — honest residual	source_loader leaves None	adapt_safety_authority_snapshot_v1 → NOT_BOUND	true_as_not_bound	false	true_not_bound_provenance	NOT_BOUND_HONEST
venue	review_server / ENV_VENUE	PEAK_TRADE_MARKET_DASHBOARD_VENUE=binance_usdm_futures	source_loader venue env	market adapter venue field	true	true	true	BOUND
freshness	section timestamps	derived from section snapshots	page_builder via adapt_dashboard_freshness_snapshot_v1	adapt_dashboard_freshness_snapshot_v1	true	true	true	BOUND
chart_bars	same OHLCV series	series[instrument].bars	source_loader._extract_chart_bars	presenter display-only	true	true	true	BOUND
